Date,^N225,9983.T
2018-09-04,22696.900390625,51225.87890625
2018-09-05,22580.830078125,52845.08984375
2018-09-06,22487.939453125,53267.06640625
2018-09-07,22307.060546875,52894.16015625
2018-09-10,22373.08984375,52982.4765625
2018-09-11,22664.689453125,54238.59375
2018-09-12,22604.609375,54258.21484375
2018-09-13,22821.3203125,55808.734375
2018-09-14,23094.669921875,57005.96875
2018-09-17,,57005.96875
2018-09-18,23420.5390625,56583.98828125
2018-09-19,23672.51953125,55180.67578125
2018-09-20,23674.9296875,55847.98828125
2018-09-21,23869.9296875,55740.0390625
2018-09-24,,55740.0390625
2018-09-25,23940.259765625,54346.5390625
2018-09-26,24033.7890625,55229.74609375
2018-09-27,23796.740234375,55661.53125
2018-09-28,24120.0390625,56839.13671875
2018-10-01,24245.759765625,57732.15625
2018-10-02,24270.619140625,57162.984375
2018-10-03,24110.9609375,57751.78515625
2018-10-04,23975.619140625,57221.85546875
2018-10-05,23783.720703125,56672.3125
2018-10-08,,56672.3125
2018-10-09,23469.390625,57339.625
2018-10-10,23506.0390625,58684.05859375
2018-10-11,22590.859375,56191.45703125
2018-10-12,22694.66015625,55023.6640625
2018-10-15,22271.30078125,52540.87890625
2018-10-16,22549.240234375,54621.31640625
2018-10-17,22841.119140625,55573.21484375
2018-10-18,22658.16015625,54788.14453125
2018-10-19,22532.080078125,54896.0859375
2018-10-22,22614.8203125,55416.19921875
2018-10-23,22010.779296875,54954.97265625
2018-10-24,22091.1796875,56162.01953125
2018-10-25,21268.73046875,53384.828125
2018-10-26,21184.599609375,54493.73828125
2018-10-29,21149.80078125,54984.41015625
2018-10-30,21457.2890625,56083.5078125
2018-10-31,21920.4609375,56005.00390625
2018-11-01,21687.650390625,56937.2734375
2018-11-02,22243.66015625,59400.4375
2018-11-05,21898.990234375,56574.1796875
2018-11-06,22147.75,57349.43359375
2018-11-07,22085.80078125,59321.92578125
2018-11-08,22486.919921875,59930.359375
2018-11-09,22250.25,59164.9140625
2018-11-12,22269.880859375,59665.3984375
2018-11-13,21810.51953125,58998.0859375
2018-11-14,21846.48046875,57898.98828125
2018-11-15,21803.619140625,58203.19921875
2018-11-16,21680.33984375,58733.125
2018-11-19,21821.16015625,57643.83984375
2018-11-20,21583.119140625,57182.609375
2018-11-21,21507.5390625,56377.91015625
2018-11-22,21646.55078125,55720.41015625
2018-11-23,,55720.41015625
2018-11-26,21812.0,56328.83984375
2018-11-27,21952.400390625,55995.1875
2018-11-28,22177.01953125,58006.93359375
2018-11-29,22262.599609375,58065.8125
2018-11-30,22351.060546875,57938.23828125
2018-12-03,22574.759765625,57486.82421875
2018-12-04,22036.05078125,55916.68359375
2018-12-05,21919.330078125,56476.046875
2018-12-06,21501.619140625,56230.70703125
2018-12-07,21678.6796875,57889.171875
2018-12-10,21219.5,56476.046875
2018-12-11,21148.01953125,57064.84765625
2018-12-12,21602.75,58703.68359375
2018-12-13,21816.189453125,60077.5546875
2018-12-14,21374.830078125,59635.953125
2018-12-17,21506.880859375,59851.85546875
2018-12-18,21115.44921875,58890.140625
2018-12-19,20987.919921875,57898.98828125
2018-12-20,20392.580078125,57153.16796875
2018-12-21,20166.189453125,57741.97265625
2018-12-24,,57741.97265625
2018-12-25,19155.740234375,55357.3203125
2018-12-26,19327.060546875,54847.0234375
2018-12-27,20077.619140625,55563.39453125
2018-12-28,20014.76953125,55318.06640625
2018-12-31,,55318.06640625
2019-01-04,19561.9609375,52305.359375
2019-01-07,20038.970703125,52864.71875
2019-01-08,20204.0390625,52668.44921875
2019-01-09,20427.060546875,52207.22265625
2019-01-10,20163.80078125,51088.49609375
2019-01-11,20359.69921875,54248.40234375
2019-01-15,20555.2890625,52334.796875
2019-01-16,20442.75,51127.75390625
2019-01-17,20402.26953125,49891.2578125
2019-01-18,20666.0703125,50470.25390625
2019-01-21,20719.330078125,50362.30078125
2019-01-22,20622.91015625,50107.15625
2019-01-23,20593.720703125,50273.984375
2019-01-24,20574.630859375,48713.65234375
2019-01-25,20773.560546875,48919.73828125
2019-01-28,20649.0,49233.76953125
2019-01-29,20664.640625,49636.11328125
2019-01-30,20556.5390625,48978.6171875
2019-01-31,20773.490234375,48900.109375
2019-02-01,20788.390625,49861.8203125
2019-02-04,20883.76953125,49596.859375
2019-02-05,20844.44921875,48183.73046875
2019-02-06,20874.060546875,48429.06640625
2019-02-07,20751.279296875,47123.8828125
2019-02-08,20333.169921875,46888.3671875
2019-02-12,20864.2109375,48301.4921875
2019-02-13,21144.48046875,48242.6171875
2019-02-14,21139.7109375,48448.6953125
2019-02-15,20900.630859375,47810.8203125
2019-02-18,21281.849609375,49675.3671875
2019-02-19,21302.650390625,49361.3359375
2019-02-20,21431.490234375,49400.59375
2019-02-21,21464.23046875,50136.59375
2019-02-22,21425.509765625,50156.22265625
2019-02-25,21528.23046875,50489.87890625
2019-02-26,21449.390625,50174.37890625
2019-02-27,21556.509765625,51515.25390625
2019-02-28,21385.16015625,51426.51953125
2019-03-01,21602.689453125,52520.91015625
2019-03-04,21822.0390625,52658.94140625
2019-03-05,21726.279296875,53713.89453125
2019-03-06,21596.810546875,52363.16015625
2019-03-07,21456.009765625,52658.94140625
2019-03-08,21025.560546875,51475.81640625
2019-03-11,21125.08984375,51613.84375
2019-03-12,21503.689453125,53289.94140625
2019-03-13,21290.240234375,52570.20703125
2019-03-14,21287.01953125,52905.421875
2019-03-15,21450.849609375,52737.81640625
2019-03-18,21584.5,53092.75390625
2019-03-19,21566.849609375,53033.6015625
2019-03-20,21608.919921875,53556.14453125
2019-03-22,21627.33984375,53181.484375
2019-03-25,20977.109375,51860.33203125
2019-03-26,21428.390625,52234.9921875
2019-03-27,21378.73046875,52057.51953125
2019-03-28,21033.759765625,51761.734375
2019-03-29,21205.810546875,51298.34765625
2019-04-01,21509.029296875,51830.75390625
2019-04-02,21505.310546875,51209.61328125
2019-04-03,21713.2109375,53832.20703125
2019-04-04,21724.94921875,53585.7265625
2019-04-05,21807.5,53792.765625
2019-04-08,21761.650390625,54049.11328125
2019-04-09,21802.58984375,53970.23828125
2019-04-10,21687.5703125,54236.44140625
2019-04-11,21711.380859375,54364.609375
2019-04-12,21870.560546875,59037.9609375
2019-04-15,22169.109375,59580.22265625
2019-04-16,22221.66015625,60960.53515625
2019-04-17,22277.970703125,61522.5234375
2019-04-18,22090.119140625,62380.2890625
2019-04-19,22200.560546875,63681.7265625
2019-04-22,22217.900390625,63622.5703125
2019-04-23,22259.740234375,62449.3046875
2019-04-24,22200.0,63514.1171875
2019-04-25,22307.580078125,63238.05859375
2019-04-26,22258.73046875,63356.37109375
2019-05-07,21923.720703125,62409.87109375
2019-05-08,21602.58984375,63247.9140625
2019-05-09,21402.130859375,64056.3828125
2019-05-10,21344.919921875,64480.3359375
2019-05-13,21191.279296875,63504.2578125
2019-05-14,21067.23046875,63208.48046875
2019-05-15,21188.560546875,62991.5703125
2019-05-16,21062.98046875,63001.42578125
2019-05-17,21250.08984375,63642.29296875
2019-05-20,21301.73046875,64036.6640625
2019-05-21,21272.44921875,64164.8359375
2019-05-22,21283.369140625,64776.1171875
2019-05-23,21151.140625,65131.0546875
2019-05-24,21117.220703125,64618.37109375
2019-05-27,21182.580078125,65476.1328125
2019-05-28,21260.140625,65426.83984375
2019-05-29,21003.369140625,64263.4296875
2019-05-30,20942.529296875,63267.63671875
2019-05-31,20601.189453125,61887.3203125
2019-06-03,20410.880859375,62222.54296875
2019-06-04,20408.5390625,62400.0078125
2019-06-05,20776.099609375,61433.7890625
2019-06-06,20774.0390625,63178.8984375
2019-06-07,20884.7109375,63247.9140625
2019-06-10,21134.419921875,63514.1171875
2019-06-11,21204.279296875,62419.7265625
2019-06-12,21129.720703125,63928.2109375
2019-06-13,21032.0,63987.3671875
2019-06-14,21116.890625,65131.0546875
2019-06-17,21124.0,65988.8203125
2019-06-18,20972.7109375,65377.5390625
2019-06-19,21333.869140625,65900.0859375
2019-06-20,21462.859375,66550.8125
2019-06-21,21258.640625,65170.4921875
2019-06-24,21285.990234375,65594.4453125
2019-06-25,21193.810546875,65160.62890625
2019-06-26,21086.58984375,64480.3359375
2019-06-27,21338.169921875,64470.48046875
2019-06-28,21275.919921875,64214.13671875
2019-07-01,21729.970703125,64815.5546875
2019-07-02,21754.26953125,64174.6953125
2019-07-03,21638.16015625,65890.2265625
2019-07-04,21702.44921875,64716.9609375
2019-07-05,21746.380859375,64647.9453125
2019-07-08,21534.349609375,64490.1953125
2019-07-09,21565.150390625,65486.00390625
2019-07-10,21533.48046875,65939.5234375
2019-07-11,21643.529296875,66698.6953125
2019-07-12,21685.900390625,68828.3203125
2019-07-16,21535.25,68493.1015625
2019-07-17,21469.1796875,68059.296875
2019-07-18,21046.240234375,67714.21875
2019-07-19,21466.990234375,67477.59375
2019-07-22,21416.7890625,67497.3046875
2019-07-23,21620.880859375,67240.96875
2019-07-24,21709.5703125,66955.0390625
2019-07-25,21756.55078125,66314.1796875
2019-07-26,21658.150390625,66304.3203125
2019-07-29,21616.80078125,65811.359375
2019-07-30,21709.310546875,65919.8046875
2019-07-31,21521.529296875,64628.2265625
2019-08-01,21540.990234375,64835.2734375
2019-08-02,21087.16015625,64233.8515625
2019-08-05,20720.2890625,63543.69921875
2019-08-06,20585.310546875,62833.8203125
2019-08-07,20516.560546875,62419.7265625
2019-08-08,20593.349609375,63188.75390625
2019-08-09,20684.8203125,62685.9296875
2019-08-13,20455.439453125,61916.90234375
2019-08-14,20655.130859375,62784.52734375
2019-08-15,20405.650390625,61561.9609375
2019-08-16,20418.810546875,61502.8046875
2019-08-19,20563.16015625,62015.4921875
2019-08-20,20677.220703125,61828.1640625
2019-08-21,20618.5703125,62577.47265625
2019-08-22,20628.009765625,62340.8515625
2019-08-23,20710.91015625,63040.8671875
2019-08-26,20261.0390625,60368.9765625
2019-08-27,20456.080078125,61453.50390625
2019-08-28,20479.419921875,61571.81640625
2019-08-29,20460.9296875,61928.125
2019-08-30,20704.369140625,61601.515625
2019-09-02,20620.189453125,61393.66796875
2019-09-03,20625.16015625,61552.0234375
2019-09-04,20649.140625,62086.484375
2019-09-05,21085.939453125,63333.5625
2019-09-06,21199.5703125,64481.66015625
2019-09-09,21318.419921875,64016.484375
2019-09-10,21392.099609375,64897.3515625
2019-09-11,21597.759765625,64115.453125
2019-09-12,21759.609375,63551.30078125
2019-09-13,21988.2890625,63947.19921875
2019-09-17,22001.3203125,64174.83984375
2019-09-18,21960.7109375,64590.53125
2019-09-19,22044.44921875,64550.9375
2019-09-20,22079.08984375,65065.60546875
2019-09-24,22098.83984375,64313.40234375
2019-09-25,22020.150390625,63571.09765625
2019-09-26,22048.240234375,63412.73828125
2019-09-27,21878.900390625,63204.89453125
2019-09-30,21755.83984375,63551.30078125
2019-10-01,21885.240234375,62848.5859375
2019-10-02,21778.609375,63105.91796875
2019-10-03,21341.740234375,60651.36328125
2019-10-04,21410.19921875,60275.2578125
2019-10-07,21375.25,59829.875
2019-10-08,21587.779296875,60532.59375
2019-10-09,21456.380859375,60453.4140625
2019-10-10,21551.98046875,61017.56640625
2019-10-11,21798.869140625,62620.9453125
2019-10-15,22207.2109375,64778.58203125
2019-10-16,22472.919921875,67302.421875
2019-10-17,22451.859375,67559.75
2019-10-18,22492.6796875,68787.03125
2019-10-21,22548.900390625,68559.390625
2019-10-23,22625.380859375,68311.953125
2019-10-24,22750.599609375,67737.9140625
2019-10-25,22799.810546875,67302.421875
2019-10-28,22867.26953125,67490.4765625
2019-10-29,22974.130859375,67015.390625
2019-10-30,22843.119140625,65510.99609375
2019-10-31,22927.0390625,66362.171875
2019-11-01,22850.76953125,66975.8125
2019-11-05,23251.990234375,67747.8046875
2019-11-06,23303.8203125,67955.65625
2019-11-07,23330.3203125,68401.03125
2019-11-08,23391.869140625,67470.6796875
2019-11-11,23331.83984375,66886.734375
2019-11-12,23520.009765625,68054.625
2019-11-13,23319.869140625,66807.5546875
2019-11-14,23141.55078125,66748.171875
2019-11-15,23303.3203125,66777.8515625
2019-11-18,23416.759765625,67163.859375
2019-11-19,23292.650390625,66233.5078125
2019-11-20,23148.5703125,65412.01171875
2019-11-21,23038.580078125,65550.578125
2019-11-22,23112.880859375,65639.65625
2019-11-25,23292.810546875,65847.5
2019-11-26,23373.3203125,66144.421875
2019-11-27,23437.76953125,66085.0390625
2019-11-28,23409.140625,65976.1640625
2019-11-29,23293.91015625,66005.859375
2019-12-02,23529.5,67104.484375
2019-12-03,23379.810546875,66510.6328125
2019-12-04,23135.23046875,63046.53515625
2019-12-05,23300.08984375,63056.4296875
2019-12-06,23354.400390625,63264.28125
2019-12-09,23430.69921875,63640.3828125
2019-12-10,23410.189453125,63383.04296875
2019-12-11,23391.859375,63818.53125
2019-12-12,23424.810546875,63788.84375
2019-12-13,24023.099609375,66589.8046875
2019-12-16,23952.349609375,66302.7890625
2019-12-17,24066.119140625,66946.109375
2019-12-18,23934.4296875,66332.46875
2019-12-19,23864.849609375,65738.640625
2019-12-20,23816.630859375,65966.2734375
2019-12-23,23821.109375,65906.8828125
2019-12-24,23830.580078125,66065.25
2019-12-25,23782.869140625,66174.1171875
2019-12-26,23924.919921875,66530.421875
2019-12-27,23837.720703125,65194.2734375
2019-12-30,23656.619140625,64333.19921875
2020-01-06,23204.859375,62403.203125
2020-01-07,23575.720703125,62601.15234375
2020-01-08,23204.759765625,61443.1484375
2020-01-09,23739.869140625,63105.91796875
2020-01-10,23850.5703125,61354.07421875
2020-01-14,24025.169921875,62690.2265625
2020-01-15,23916.580078125,63660.171875
2020-01-16,23933.130859375,64541.04296875
2020-01-17,24041.259765625,64560.83984375
2020-01-20,24083.509765625,63541.40625
2020-01-21,23864.560546875,62680.33203125
2020-01-22,24031.349609375,62531.87109375
2020-01-23,23795.439453125,61542.12890625
2020-01-24,23827.1796875,61334.28515625
2020-01-27,23343.509765625,57860.2890625
2020-01-28,23215.7109375,58087.9296875
2020-01-29,23379.400390625,58800.54296875
2020-01-30,22977.75,58038.4453125
2020-01-31,23205.1796875,58731.26171875
2020-02-03,22971.939453125,57009.109375
2020-02-04,23084.58984375,57167.46875
2020-02-05,23319.560546875,57009.109375
2020-02-06,23873.58984375,58889.6171875
2020-02-07,23827.98046875,57919.67578125
2020-02-10,23685.98046875,58058.234375
2020-02-12,23861.2109375,58572.90234375
2020-02-13,23827.73046875,59938.7421875
2020-02-14,23687.58984375,58859.92578125
2020-02-17,23523.240234375,57969.16015625
2020-02-18,23193.80078125,58295.7734375
2020-02-19,23400.69921875,59374.59375
2020-02-20,23479.150390625,59028.1875
2020-02-21,23386.740234375,58256.18359375
2020-02-25,22605.41015625,55841.21484375
2020-02-26,22426.189453125,55752.13671875
2020-02-27,21948.23046875,54668.70703125
2020-02-28,21142.9609375,53118.1015625
2020-03-02,21344.080078125,53943.1015625
2020-03-03,21082.73046875,53197.62109375
2020-03-04,21100.060546875,53813.88671875
2020-03-05,21329.119140625,54708.46484375
2020-03-06,20749.75,54440.08984375
2020-03-09,19698.759765625,52800.02734375
2020-03-10,19867.119140625,52432.2578125
2020-03-11,19416.060546875,51438.28125
2020-03-12,18559.630859375,48555.75
2020-03-13,17431.05078125,45951.53125
2020-03-16,17002.0390625,45722.91796875
2020-03-17,17011.529296875,43516.2890625
2020-03-18,16726.55078125,40653.63671875
2020-03-19,16552.830078125,39947.9140625
2020-03-23,16887.779296875,40504.5390625
2020-03-24,18092.349609375,46090.6875
2020-03-25,19546.630859375,50136.171875
2020-03-26,18664.599609375,43536.16796875
2020-03-27,19389.4296875,44162.375
2020-03-30,19084.970703125,43078.9375
2020-03-31,18917.009765625,43923.8203125
2020-04-01,18065.41015625,41697.3125
2020-04-02,17818.720703125,40693.39453125
2020-04-03,17820.189453125,41319.59765625
2020-04-06,18576.30078125,42243.99609375
2020-04-07,18950.1796875,42840.38671875
2020-04-08,19353.240234375,46140.38671875
2020-04-09,19345.76953125,46667.1953125
2020-04-10,19498.5,47899.72265625
2020-04-13,19043.400390625,46070.80859375
2020-04-14,19638.810546875,48496.11328125
2020-04-15,19550.08984375,48148.22265625
2020-04-16,19290.19921875,47591.59375
2020-04-17,19897.259765625,50573.5234375
2020-04-20,19669.119140625,49440.38671875
2020-04-21,19280.779296875,47591.59375
2020-04-22,19137.94921875,48009.0625
2020-04-23,19429.439453125,48257.5546875
2020-04-24,19262.0,47293.3984375
2020-04-27,19783.220703125,48684.96875
2020-04-28,19771.189453125,48704.84765625
2020-04-30,20193.689453125,51189.7890625
2020-05-01,19619.349609375,50275.328125
2020-05-07,19674.76953125,49967.1953125
2020-05-08,20179.08984375,51617.19921875
2020-05-11,20390.66015625,53257.2578125
2020-05-12,20366.48046875,52929.24609375
2020-05-13,20267.05078125,51408.4609375
2020-05-14,19914.779296875,51289.18359375
2020-05-15,20037.470703125,50742.5
2020-05-18,20133.73046875,51120.2109375
2020-05-19,20433.44921875,51448.21875
2020-05-20,20595.150390625,52332.859375
2020-05-21,20552.310546875,52640.9921875
2020-05-22,20388.16015625,52680.75
2020-05-25,20741.650390625,54300.93359375
2020-05-26,21271.169921875,56437.984375
2020-05-27,21419.23046875,56656.65625
2020-05-28,21916.310546875,58753.94921875
2020-05-29,21877.890625,60165.39453125
2020-06-01,22062.390625,61507.26171875
2020-06-02,22325.609375,61378.046875
2020-06-03,22613.759765625,63157.26171875
2020-06-04,22695.740234375,63415.69921875
2020-06-05,22863.73046875,63554.8515625
2020-06-08,23178.099609375,64638.2890625
2020-06-09,23091.029296875,65493.109375
2020-06-10,23124.94921875,65642.203125
2020-06-11,22472.91015625,62938.5859375
2020-06-12,22305.48046875,63614.4921875
2020-06-15,21530.94921875,60433.765625
2020-06-16,22582.2109375,62620.515625
2020-06-17,22455.759765625,62481.359375
2020-06-18,22355.4609375,61397.921875
2020-06-19,22478.7890625,62570.81640625
2020-06-22,22437.26953125,62332.265625
2020-06-23,22549.05078125,62272.625
2020-06-24,22534.3203125,62590.6953125
2020-06-25,22259.7890625,61716.0
2020-06-26,22512.080078125,61725.9375
2020-06-29,21995.0390625,60274.73046875
2020-06-30,22288.140625,61328.34765625
2020-07-01,22121.73046875,61139.4921875
2020-07-02,22145.9609375,60940.69921875
2020-07-03,22306.48046875,61169.3125
2020-07-06,22714.439453125,62948.53125
2020-07-07,22614.689453125,61984.37109375
2020-07-08,22438.650390625,61755.7578125
2020-07-09,22529.2890625,61984.37109375
2020-07-10,22290.810546875,59916.8984375
2020-07-13,22784.740234375,60274.73046875
2020-07-14,22587.009765625,59002.44140625
2020-07-15,22945.5,59370.21484375
2020-07-16,22770.359375,59956.66015625
2020-07-17,22696.419921875,59181.359375
2020-07-20,22717.48046875,58247.01953125
2020-07-21,22884.220703125,58982.5625
2020-07-22,22751.609375,58495.51171875
2020-07-27,22715.849609375,58296.71875
2020-07-28,22657.380859375,57899.12890625
2020-07-29,22397.109375,57978.6484375
2020-07-30,22339.23046875,57551.23828125
2020-07-31,21710.0,55712.37890625
2020-08-03,22195.380859375,57312.6796875
2020-08-04,22573.66015625,58604.8515625
2020-08-05,22514.849609375,58306.65625
2020-08-06,22418.150390625,58455.75390625
2020-08-07,22329.939453125,58674.4296875
2020-08-11,22750.240234375,59270.81640625
2020-08-12,22843.9609375,59747.92578125
2020-08-13,23249.609375,60970.515625
2020-08-14,23289.359375,61219.01171875
2020-08-17,23096.75,60652.44140625
2020-08-18,23051.080078125,60582.86328125
2020-08-19,23110.609375,60881.05859375
2020-08-20,22880.619140625,60274.73046875
2020-08-21,22920.30078125,60692.203125
2020-08-24,22985.509765625,61735.875
2020-08-25,23296.76953125,63147.32421875
2020-08-26,23290.859375,63157.26171875
2020-08-27,23208.859375,62958.46875
2020-08-28,22882.650390625,61172.484375
2020-08-31,23139.759765625,63138.0625
2020-09-01,23138.0703125,63237.83984375
2020-09-02,23247.150390625,63507.234375
2020-09-03,23465.529296875,65782.1171875
2020-09-04,23205.4296875,65662.390625
2020-09-07,23089.94921875,65921.8046875
2020-09-08,23274.130859375,67089.1796875
2020-09-09,23032.5390625,66380.7734375
2020-09-10,23235.470703125,66271.0234375
2020-09-11,23406.490234375,67029.3203125
2020-09-14,23559.30078125,65941.7578125
2020-09-15,23454.890625,65762.1640625
2020-09-16,23475.529296875,65363.0625
2020-09-17,23319.369140625,64524.9453125
2020-09-18,23360.30078125,64724.49609375
2020-09-23,23346.490234375,64475.05859375
2020-09-24,23087.8203125,63976.1796875
2020-09-25,23204.619140625,64654.65625
2020-09-28,23511.619140625,65303.1953125
2020-09-29,23539.099609375,65951.7421875
2020-09-30,23185.119140625,65712.2734375
2020-10-02,23029.900390625,66350.84375
2020-10-05,23312.140625,66640.1875
2020-10-06,23433.73046875,66550.390625
2020-10-07,23422.8203125,66340.8671875
2020-10-08,23647.0703125,67139.0703125
2020-10-09,23619.689453125,69064.7421875
2020-10-12,23558.689453125,68994.8984375
2020-10-13,23601.779296875,68625.7265625
2020-10-14,23626.73046875,69493.7734375
2020-10-15,23507.23046875,70262.046875
2020-10-16,23410.630859375,73265.296875
2020-10-19,23671.130859375,73165.5234375
2020-10-20,23567.0390625,72985.9296875
2020-10-21,23639.4609375,71928.3046875
2020-10-22,23474.26953125,72217.65625
2020-10-23,23516.58984375,72497.0234375
2020-10-26,23494.33984375,73484.8046875
2020-10-27,23485.80078125,73464.8515625
2020-10-28,23418.509765625,74043.546875
2020-10-29,23331.939453125,72955.9921875
2020-10-30,22977.130859375,72546.9140625
2020-11-02,23295.48046875,72427.1796875
2020-11-04,23695.23046875,74213.1640625
2020-11-05,24105.279296875,74233.125
2020-11-06,24325.23046875,75310.703125
2020-11-09,24839.83984375,78134.3515625
2020-11-10,24905.58984375,76667.6484375
2020-11-11,25349.599609375,78972.46875
2020-11-12,25520.880859375,80439.171875
2020-11-13,25385.869140625,83242.8671875
2020-11-16,25906.9296875,85777.171875
2020-11-17,26014.619140625,87243.875
2020-11-18,25728.140625,85008.8984375
2020-11-19,25634.33984375,83063.2734375
2020-11-20,25527.369140625,80948.0234375
2020-11-24,26165.58984375,82813.8359375
2020-11-25,26296.859375,83492.3046875
2020-11-26,26537.310546875,83402.5078125
2020-11-27,26644.7109375,83941.296875
2020-11-30,26433.619140625,85747.234375
2020-12-01,26787.5390625,87363.6015625
2020-12-02,26800.98046875,86994.4375
2020-12-03,26809.369140625,87473.359375
2020-12-04,26751.240234375,86226.1640625
2020-12-07,26547.439453125,85078.7421875
2020-12-08,26467.080078125,85208.453125
2020-12-09,26817.939453125,85817.078125
2020-12-10,26756.240234375,84949.03125
2020-12-11,26652.51953125,83841.5234375
2020-12-14,26732.439453125,84110.9140625
2020-12-15,26687.83984375,84190.734375
2020-12-16,26757.400390625,84739.5
2020-12-17,26806.669921875,84110.9140625
2020-12-18,26763.390625,84370.3359375
2020-12-21,26714.419921875,83741.75
2020-12-22,26436.390625,84230.6484375
2020-12-23,26524.7890625,84130.875
2020-12-24,26668.349609375,85727.28125
2020-12-25,26656.609375,86126.3828125
2020-12-28,26854.029296875,86705.0859375
2020-12-29,27568.150390625,90606.3125
2020-12-30,27444.169921875,92262.59375
2021-01-04,27258.380859375,90845.7734375
2021-01-05,27158.630859375,88969.9921875
2021-01-06,27055.939453125,86764.953125
2021-01-07,27490.130859375,88151.8359375
2021-01-08,28139.029296875,91524.25
2021-01-12,28164.33984375,90905.640625
2021-01-13,28456.58984375,91923.3515625
2021-01-14,28698.259765625,93449.921875
2021-01-15,28519.1796875,90785.9140625
2021-01-18,28242.2109375,90007.6640625
2021-01-19,28633.4609375,92761.46875
2021-01-20,28523.259765625,90905.640625
2021-01-21,28756.859375,91663.9375
2021-01-22,28631.44921875,91614.046875
2021-01-25,28822.2890625,93789.15625
2021-01-26,28546.1796875,91434.453125
2021-01-27,28635.2109375,90476.609375
2021-01-28,28197.419921875,90257.1015625
2021-01-29,27663.390625,89618.5390625
2021-02-01,28091.05078125,91314.71875
2021-02-02,28362.169921875,91304.7421875
2021-02-03,28646.5,91993.1953125
2021-02-04,28341.94921875,90815.84375
2021-02-05,28779.189453125,92003.171875
2021-02-08,29388.5,93419.9921875
2021-02-09,29505.9296875,94916.625
2021-02-10,29562.9296875,95315.7265625
2021-02-12,29520.0703125,95335.6796875
2021-02-15,30084.150390625,99236.9140625
2021-02-16,30467.75,102270.09375
2021-02-17,30292.189453125,102419.7578125
2021-02-18,30236.08984375,107109.21875
2021-02-19,30017.919921875,104515.046875
2021-02-22,30156.029296875,104664.7109375
2021-02-24,29671.69921875,106760.0
2021-02-25,30168.26953125,109550.0
2021-02-26,28966.009765625,105000.0
2021-03-01,29663.5,107850.0
2021-03-02,29408.169921875,104700.0
2021-03-03,29559.099609375,104950.0
2021-03-04,28930.109375,99230.0
2021-03-05,28864.3203125,95870.0
2021-03-08,28743.25,94280.0
2021-03-09,29027.939453125,94020.0
2021-03-10,29036.560546875,91750.0
2021-03-11,29211.640625,94830.0
2021-03-12,29717.830078125,94700.0
2021-03-15,29766.970703125,95390.0
2021-03-16,29921.08984375,95190.0
2021-03-17,29914.330078125,96000.0
2021-03-18,30216.75,96930.0
2021-03-19,29792.05078125,91020.0
2021-03-22,29174.150390625,86890.0
2021-03-23,28995.919921875,86800.0
2021-03-24,28405.51953125,83740.0
2021-03-25,28729.880859375,84900.0
2021-03-26,29176.69921875,85650.0
2021-03-29,29384.51953125,86390.0
2021-03-30,29432.69921875,89130.0
